lid,bundle,bundle_lid,filepath,pds:start_date_time,pds:stop_date_time,pds:wavelength_range,instument_host_lid,instrument_lid,primary_target_lid,rings:occultation_type,rings:occultation_direction,rings:time_series_direction,rings:planetary_occultation_flag,rings:data_quality_score,rings:ring_plane,rings:minimum_projected_sun_diameter,rings:maximum_projected_sun_diameter,rings:sigma_projected_sun_diameter,rings:minimum_wavelength,rings:maximum_wavelength,rings:reference_time_utc,rings:observed_event_start_tdb,rings:observed_event_stop_tdb,rings:ring_event_start_tdb,rings:ring_event_stop_tdb,rings:minimum_ring_radius,rings:maximum_ring_radius,rings:observed_ring_elevation,rings:light_source_incidence_angle,rings:data_quality_index,rings:lowest_detectable_normal_optical_depth,rings:highest_detectable_normal_optical_depth,rings:background_signal,rings:average_unocculted_signal
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2013_044_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2013_044_solar_time_series_egress.xml                        ,2013-02-13T22:52:14.327Z,2013-02-13T23:45:25.327Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Poor,Equator,394.521 ,479.189 ,24.5,56.3,117.9,2000-01-01T12:00:00Z,414068001.013,414071192.013,414067999.414,414071190.697,100312.8,172509.0,17.55,72.45,FR ,-0.02421,1.28584 ,64.9  , 1718.5
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_221_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_221_solar_time_series_egress.xml                        ,2016-08-09T02:46:55.259Z,2016-08-09T04:58:59.243Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,Y,Good,Equator,777.402 ,827.472 ,14.5,56.2,118.1,2000-01-01T12:00:00Z,523982882.442,523990806.426,523982879.681,523990803.833,69395.5 ,150479.4,26.40,63.60,R  ,-0.00586,3.23280 ,297.6 ,74411.5
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_221_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_221_solar_time_series_ingress.xml                       ,2016-08-08T21:51:23.372Z,2016-08-08T22:50:29.372Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,908.808 ,927.182 ,5.3 ,56.2,118.1,2000-01-01T12:00:00Z,523965150.555,523968696.555,523965147.462,523968693.524,119179.3,157461.5,26.40,63.60,BR ,-0.00238,0.79179 ,297.6 ,74922.3
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_245_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_245_solar_time_series_egress.xml                        ,2016-09-01T21:21:53.143Z,2016-09-02T00:00:29.143Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Fair,Equator,799.144 ,852.788 ,15.5,56.2,118.1,2000-01-01T12:00:00Z,526036988.325,526046496.325,526036985.481,526046493.660,81395.1 ,132355.4,26.45,63.55,U  ,0.04172 ,3.21434 ,318.3 ,72831.9
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_245_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_245_solar_time_series_ingress.xml                       ,2016-09-01T17:49:23.193Z,2016-09-01T21:21:49.143Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,852.809 ,916.357 ,19.5,56.2,118.1,2000-01-01T12:00:00Z,526024230.375,526036984.325,526024227.319,526036981.481,81395.1 ,161768.3,26.45,63.55,BR ,-0.00388,3.21506 ,318.3 ,72916.3
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_269_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_269_solar_time_series_egress.xml                        ,2016-09-25T19:42:33.874Z,2016-09-25T22:08:29.874Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Fair,Equator,799.453 ,848.765 ,14.2,56.2,118.1,2000-01-01T12:00:00Z,528104625.057,528113377.057,528104622.225,528113374.390,69551.2 ,118889.4,26.50,63.50,R  ,-0.00382,3.21760 ,307.9 ,71287.8
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_269_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_269_solar_time_series_ingress.xml                       ,2016-09-25T19:20:23.874Z,2016-09-25T19:42:29.874Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Poor,Equator,848.787 ,855.914 ,2.1 ,56.2,118.1,2000-01-01T12:00:00Z,528103291.057,528104621.057,528103288.202,528104618.225,69551.2 ,71086.0 ,26.50,63.50,X  ,-999.   ,-999.   ,-999. ,  -999.
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_288_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_288_solar_time_series_egress.xml                        ,2016-10-14T20:21:27.404Z,2016-10-14T21:05:29.404Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Poor,Equator,813.936 ,826.120 ,3.5 ,56.2,118.1,2000-01-01T12:00:00Z,529748566.587,529751196.587,529748563.831,529751193.872,95404.1 ,99248.4 ,26.54,63.46,BU ,0.71907 ,1.31053 ,220.9 ,67557.9
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_288_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_288_solar_time_series_ingress.xml                       ,2016-10-14T17:19:53.404Z,2016-10-14T20:21:23.404Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,826.138 ,871.779 ,13.2,56.2,118.1,2000-01-01T12:00:00Z,529737660.587,529748562.587,529737657.679,529748559.831,95404.1 ,147972.0,26.54,63.46,   ,-0.00320,3.27193 ,220.9 ,67557.9
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_325_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_325_solar_time_series_egress.xml                        ,2016-11-20T08:24:19.177Z,2016-11-20T11:38:29.108Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,713.341 ,754.245 ,11.9,56.3,117.9,2000-01-01T12:00:00Z,532902334.860,532913976.791,532902332.344,532913974.412,96045.0 ,148457.9,26.60,63.40,   ,-0.00921,3.14942 ,222.0 ,50763.4
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_325_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_325_solar_time_series_ingress.xml                       ,2016-11-20T05:09:22.219Z,2016-11-20T08:24:17.177Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Good,Equator,754.251 ,785.101 ,8.9 ,56.3,117.9,2000-01-01T12:00:00Z,532890629.902,532902332.860,532890627.283,532902330.344,96045.0 ,148773.4,26.60,63.40,R  ,-0.00790,3.22306 ,161.3 ,50981.1
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_361_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_361_solar_time_series_egress.xml                        ,2016-12-26T20:26:12.028Z,2016-12-27T00:05:00.028Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,647.645 ,678.499 ,8.9 ,56.2,118.1,2000-01-01T12:00:00Z,536056047.712,536069167.712,536056045.448,536069165.551,78849.3 ,145199.3,26.64,63.36,R  ,-0.02025,3.17458 ,309.4 ,62625.4
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2016_361_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2016_361_solar_time_series_ingress.xml                       ,2016-12-26T16:44:52.062Z,2016-12-26T20:26:10.028Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Good,Equator,678.503 ,693.516 ,4.5 ,56.2,118.1,2000-01-01T12:00:00Z,536042759.746,536056045.712,536042757.433,536056043.448,78849.3 ,146195.3,26.65,63.35,   ,-0.00543,3.28399 ,207.4 ,65409.3
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_017_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_017_solar_time_series_ingress.xml                       ,2017-01-17T04:19:52.178Z,2017-01-17T05:31:28.178Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,689.871 ,692.310 ,0.7 ,56.2,118.1,2000-01-01T12:00:00Z,537898860.863,537903156.863,537898858.554,537903154.562,111310.5,145206.2,26.67,63.33,B  ,-0.00674,3.23681 ,246.5 ,63813.7
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_046_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_046_solar_time_series_egress.xml                        ,2017-02-15T02:40:53.162Z,2017-02-15T05:20:29.162Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,Y,Good,Equator,638.759 ,664.478 ,7.4 ,56.2,118.1,2000-01-01T12:00:00Z,540398521.847,540408097.847,540398519.631,540408095.716,68716.6 ,147307.9,26.69,63.31,F  ,-0.00562,3.23049 ,260.1 ,64260.1
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_060_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_060_solar_time_series_egress.xml                        ,2017-03-01T11:10:23.212Z,2017-03-01T12:23:59.212Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,Y,Fair,Equator,644.211 ,655.691 ,3.3 ,56.2,118.1,2000-01-01T12:00:00Z,541638691.898,541643107.898,541638689.710,541643105.749,75270.7 ,113069.4,26.70,63.30,UR ,0.05063 ,3.23273 ,258.0 ,64165.0
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_074_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_074_solar_time_series_egress.xml                        ,2017-03-15T19:48:54.259Z,2017-03-15T21:24:00.254Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,629.795 ,645.905 ,4.7 ,56.2,118.1,2000-01-01T12:00:00Z,542879402.945,542885108.939,542879400.790,542885106.838,95652.6 ,147423.5,26.71,63.29,   ,-0.00495,3.23705 ,247.1 ,63262.2
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_089_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_089_solar_time_series_egress.xml                        ,2017-03-30T03:38:53.324Z,2017-03-30T05:24:29.310Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Good,Equator,626.238 ,644.395 ,5.3 ,56.2,118.1,2000-01-01T12:00:00Z,544117202.010,544123537.995,544117199.861,544123535.907,95295.4 ,153733.8,26.72,63.28,   ,-0.00551,3.25733 ,246.5 ,65982.5
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_103_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_103_solar_time_series_ingress.xml                       ,2017-04-13T04:10:22.558Z,2017-04-13T05:22:28.558Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,683.832 ,685.221 ,0.4 ,56.2,118.1,2000-01-01T12:00:00Z,545328691.244,545333017.244,545328688.958,545333014.963,117855.6,157778.8,26.73,63.27,B  ,-0.00571,3.24452 ,246.5 ,63977.1
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_116_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_116_solar_time_series_egress.xml                        ,2017-04-26T21:26:23.948Z,2017-04-26T22:53:29.948Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Fair,Equator,443.009 ,446.739 ,1.1 ,56.2,118.1,2000-01-01T12:00:00Z,546514052.634,546519278.634,546514051.144,546519277.156,126864.7,174718.5,26.73,63.27,B  ,-0.00676,0.55886 ,246.5 ,66704.7
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_168_solar_time_series_egress ,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_168_solar_time_series_egress.xml                        ,2017-06-17T08:31:11.490Z,2017-06-17T11:24:59.490Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Egress ,Egress ,N,Fair,Equator,432.750 ,436.476 ,1.0 ,56.3,117.9,2000-01-01T12:00:00Z,550960341.175,550970768.175,550960339.731,550970766.721,77510.7 ,126077.9,26.73,63.27,UBR,0.00877 ,3.29810 ,195.6 ,64169.0
urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023:data:uvis_euv_2017_168_solar_time_series_ingress,cassini_uvis_solarocc_beckerjarmak2023,urn:nasa:pds:cassini_uvis_solarocc_beckerjarmak2023,data/uvis_euv_2017_168_solar_time_series_ingress.xml                       ,2017-06-17T05:31:02.490Z,2017-06-17T08:31:09.490Z,Ultraviolet,urn:nasa:pds:context:instrument_host:spacecraft.co,urn:nasa:pds:context:instrument:uvis.co,urn:nasa:pds:context:target:ring.saturn.rings,Solar,Ingress,Ingress,N,Fair,Equator,406.338 ,432.748 ,7.6 ,56.3,117.9,2000-01-01T12:00:00Z,550949531.175,550960339.175,550949529.819,550960337.731,77510.7 ,127779.7,26.73,63.27,U  ,0.00843 ,3.25772 ,234.3 ,64169.0
